customer_id,customer_name,market,preferred_language,first_order_date,orders_count,is_subscriber
CUS-0000,Putri Wijaya,ID,id,2024-10-02,5,True
CUS-0001,Nurin Ismail,MY,en,2026-05-15,10,True
CUS-0002,Nurul Wong,SG,en,2024-11-25,13,False
CUS-0003,Arun Wong,SG,sg,2025-06-01,1,True
CUS-0004,Mei Rahman,SG,sg,2026-04-01,6,False
CUS-0005,Rizky Pratama,ID,id,2025-12-31,5,False
CUS-0006,Daniel Balakrishnan,MY,en,2024-08-22,4,False
CUS-0007,Dewi Halim,ID,id,2025-03-29,9,False
CUS-0008,Bayu Halim,ID,id,2025-05-20,12,True
CUS-0009,Priya Tan,SG,en,2026-07-24,9,False
CUS-0010,Putri Pratama,ID,en,2026-08-03,5,False
CUS-0011,Daniel Abdullah,MY,ms,2025-02-24,2,False
CUS-0012,Arun Tan,SG,en,2026-07-31,9,False
CUS-0013,Mei Yee Chong,MY,ms,2024-03-16,3,True
CUS-0014,Daniel Yusof,MY,en,2025-05-05,10,False
CUS-0015,Bayu Susanto,ID,id,2026-05-06,7,True
CUS-0016,Mei Rahman,SG,en,2025-07-20,8,False
CUS-0017,Mei Tan,SG,zh,2025-05-04,6,False
CUS-0018,Putri Pratama,ID,id,2024-05-14,12,False
CUS-0019,Priya Nair,SG,zh,2024-09-20,6,False
CUS-0020,Rizky Wijaya,ID,id,2025-02-15,7,False
CUS-0021,Rizky Nugroho,ID,id,2025-10-28,6,False
CUS-0022,Andi Wijaya,ID,id,2024-08-20,7,True
CUS-0023,Aisyah Ismail,MY,ms,2025-07-04,4,False
CUS-0024,Andi Pratama,ID,en,2025-09-05,10,False
CUS-0025,Siti Lim,MY,ms,2024-04-03,6,False
CUS-0026,Hafiz Abdullah,MY,ms,2024-12-28,12,False
CUS-0027,Andi Nugroho,ID,id,2025-10-08,12,False
CUS-0028,Intan Wijaya,ID,id,2026-03-16,7,False
CUS-0029,Zulkifli Yusof,MY,ms,2024-08-22,8,False
CUS-0030,Shafiq Tan,SG,en,2026-01-22,9,False
CUS-0031,Nurin Lim,MY,ms,2025-02-04,4,False
CUS-0032,Nurul Chua,SG,en,2025-01-28,8,True
CUS-0033,Arun Chua,SG,sg,2024-08-02,9,False
CUS-0034,Bayu Nugroho,ID,id,2025-08-26,2,True
CUS-0035,Jason Lee,SG,en,2026-04-26,1,False
CUS-0036,Bayu Pratama,ID,id,2025-03-31,10,False
CUS-0037,Putri Wijaya,ID,id,2025-05-30,13,False
CUS-0038,Sari Pratama,ID,en,2025-01-22,13,False
CUS-0039,Arun Rahman,SG,zh,2024-05-19,1,False
CUS-0040,Nurin Yusof,MY,ms,2025-09-28,3,False
CUS-0041,Agus Halim,ID,id,2024-08-20,10,True
CUS-0042,Putri Wijaya,ID,id,2026-01-31,11,True
CUS-0043,Zulkifli Lim,MY,en,2024-07-03,3,False
CUS-0044,Mei Yee Abdullah,MY,ms,2025-03-04,3,False
CUS-0045,Mei Rahman,SG,en,2024-12-31,4,True
CUS-0046,Dewi Nugroho,ID,id,2026-01-18,2,False
CUS-0047,Zulkifli Chong,MY,ms,2024-04-06,4,True
CUS-0048,Wei Ling Lee,SG,en,2024-07-16,4,False
CUS-0049,Dewi Kusuma,ID,id,2025-12-25,8,False
CUS-0050,Intan Wijaya,ID,id,2026-07-19,11,False
CUS-0051,Putri Susanto,ID,id,2024-03-26,9,False
CUS-0052,Priya Tan,SG,en,2025-01-14,9,False
CUS-0053,Rizky Halim,ID,id,2025-06-28,9,True
CUS-0054,Andi Wijaya,ID,id,2026-05-29,1,False
CUS-0055,Putri Susanto,ID,id,2024-03-30,10,False
CUS-0056,Hafiz Ismail,MY,ms,2026-02-18,13,False
CUS-0057,Hafiz Ismail,MY,en,2025-02-17,11,False
CUS-0058,Clara Wong,SG,en,2026-05-27,4,False
CUS-0059,Mei Chua,SG,sg,2025-05-28,12,True
CUS-0060,Andi Pratama,ID,id,2025-01-15,10,False
CUS-0061,Shafiq Chua,SG,en,2026-04-22,8,False
CUS-0062,Sari Susanto,ID,id,2026-02-14,4,False
CUS-0063,Nurin Ismail,MY,en,2025-09-22,8,False
CUS-0064,Jason Chua,SG,en,2024-06-02,2,False
CUS-0065,Andi Nugroho,ID,id,2025-02-03,2,False
CUS-0066,Siti Ismail,MY,ms,2025-10-04,10,True
CUS-0067,Nurin Yusof,MY,en,2024-10-30,1,True
CUS-0068,Mei Rahman,SG,en,2024-12-23,5,False
CUS-0069,Arun Wong,SG,en,2025-02-24,6,False
CUS-0070,Bayu Halim,ID,id,2026-03-09,9,False
CUS-0071,Aisyah Yusof,MY,ms,2025-06-15,5,False
CUS-0072,Arun Nair,SG,sg,2025-07-18,13,False
CUS-0073,Putri Halim,ID,id,2025-04-19,1,False
CUS-0074,Clara Wong,SG,en,2025-10-08,10,True
CUS-0075,Nurin Chong,MY,ms,2025-06-06,13,True
CUS-0076,Dewi Wijaya,ID,id,2024-08-04,8,False
CUS-0077,Agus Pratama,ID,id,2026-02-26,9,False
